Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1620580993,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1620580994,92,,Aggregated,0.000000,0.000000,3,4,4,5,6,12,88,110,130,130,130,228,0,3,6.8098775043859785,1.2793819999998846,130.079997,8.552631578947368
1620580995,187,,Aggregated,0.000000,0.000000,2,3,4,4,5,6,8,42,130,130,130,818,0,2,3.7584697713936395,0.8861160000002144,130.079997,8.9119804400978
1620580996,279,,Aggregated,0.000000,0.000000,3,4,5,5,8,10,12,15,120,130,130,1780,0,3,4.14118024550561,0.7819129999999674,130.079997,9.044943820224718
1620580997,350,,Aggregated,120.000000,0.000000,5,9,13,17,25,59,77,88,120,130,130,2934,0,5,11.727175817655086,0.7819129999999674,130.079997,9.096796182685754
1620580998,410,,Aggregated,280.333333,0.000000,9,20,33,45,63,76,86,92,200,240,240,4237,0,9,21.764013487609162,0.7819129999999674,241.4224850000002,9.09369837148926
1620581000,461,,Aggregated,589.400000,0.000000,18,37,57,65,110,140,150,160,230,300,300,5424,0,18,36.26708438034664,0.7819129999999674,298.1222849999998,9.09660766961652
1620581001,500,,Aggregated,706.166667,0.000000,25,56,76,96,150,200,230,240,450,500,500,6529,0,25,52.407588926328756,0.7158460000002975,497.43104100000045,9.071833358860468
1620581002,500,,Aggregated,772.428571,0.000000,35,74,120,150,230,250,270,290,440,500,500,7712,0,35,72.9304939006742,0.7158460000002975,497.43104100000045,9.067686721991702
1620581003,500,,Aggregated,812.625000,0.000000,48,110,160,200,240,260,280,290,440,500,500,8849,0,48,87.82500181873642,0.7158460000002975,497.43104100000045,9.07899197649452
1620581004,500,,Aggregated,855.333333,0.000000,59,140,190,210,250,260,290,300,420,490,500,10021,0,59,98.5596644235105,0.7158460000002975,497.43104100000045,9.074942620496957
1620581005,500,,Aggregated,882.000000,0.000000,70,160,200,210,250,260,290,300,390,490,500,11252,0,70,104.6411243139885,0.7158460000002975,497.43104100000045,9.07394241023818
1620581006,500,,Aggregated,984.300000,0.000000,76,160,200,210,250,260,290,300,390,490,500,12188,0,76,106.27051896832944,0.7158460000002975,497.43104100000045,9.06629471611421
1620581007,500,,Aggregated,1058.000000,0.000000,84,170,200,210,250,260,290,290,370,490,500,13415,0,84,108.85164806306386,0.7158460000002975,497.43104100000045,9.08386134923593
1620581008,500,,Aggregated,1122.400000,0.000000,95,180,200,220,250,260,290,290,370,490,500,14629,0,95,113.30056122311865,0.7158460000002975,497.43104100000045,9.075124752204525
1620581009,500,,Aggregated,1159.400000,0.000000,110,190,210,220,250,260,290,290,360,490,500,15797,0,110.0,118.28914965157952,0.7158460000002975,497.43104100000045,9.076406912704943
1620581010,500,,Aggregated,1165.600000,0.000000,120,190,210,230,250,270,290,300,350,490,500,16930,0,120.0,123.74155746479634,0.7158460000002975,497.43104100000045,9.071470761961017
1620581011,500,,Aggregated,1151.000000,0.000000,140,200,220,230,250,270,290,300,350,490,500,18112,0,140.0,126.91552974966939,0.7158460000002975,497.43104100000045,9.079063604240282
1620581012,500,,Aggregated,1145.100000,0.000000,150,200,220,230,250,270,290,300,340,490,500,19278,0,150.0,130.10942415395826,0.7158460000002975,497.43104100000045,9.078742608154373
